,price,index
0,45.0,0.0
1,200.0,90.0
2,340.63,180.0
3,444.0,270.0
4,553.0,361.0
5,700.0,451.0
6,850.0,541.0
7,1000.0,632.0
8,1200.0,740.0
9,1350.0,812.0
10,1521.11,903.0
11,1755.0,993.0
12,1843.0,1083.0
13,1966.0,1174.0
14,2006.0,1275.0
15,2200.0,1372.0
16,2349.2,1445.0
17,2500.0,1535.0
18,2574.0,1625.0
19,2800.0,1734.0
20,2950.0,1806.0
21,3000.0,1914.0
22,3200.0,1987.0
23,3400.0,2077.0
24,3500.0,2185.0
25,3600.0,2258.0
26,3876.18,2348.0
27,4100.0,2456.0
28,4346.02,2528.0
29,4686.27,2637.0
30,4810.0,2709.0
31,5050.78,2799.0
32,5500.0,2908.0
33,5790.62,2980.0
34,6020.0,3088.0
35,6500.0,3161.0
36,6895.0,3251.0
37,7200.0,3341.0
38,7784.0,3432.0
39,8260.0,3522.0
40,8700.0,3612.0
41,9396.8,3703.0
42,10000.0,3793.0
43,10895.0,3883.0
44,12000.0,3974.0
45,12600.0,4064.0
46,14000.0,4154.0
47,15000.0,4245.0
48,16000.0,4335.0
49,18000.0,4425.0
