,price,index
0,45.0,0.0
1,293.65,150.0
2,458.09,301.0
3,700.0,451.0
4,950.0,602.0
5,1210.0,752.0
6,1521.11,903.0
7,1800.0,1053.0
8,2000.0,1204.0
9,2200.0,1354.0
10,2400.0,1505.0
11,2695.0,1655.0
12,2950.0,1806.0
13,3100.0,1956.0
14,3495.0,2107.0
15,3600.0,2258.0
16,4000.0,2408.0
17,4484.0,2559.0
18,4810.0,2709.0
19,5400.0,2860.0
20,5900.0,3010.0
21,6500.0,3161.0
22,7040.0,3311.0
23,8000.0,3462.0
24,8700.0,3612.0
25,9800.0,3763.0
26,11000.0,3913.0
27,12600.0,4064.0
28,14500.0,4214.0
29,16544.63,4365.0
