,price,index
0,45.0,0.0
1,125.0,44.0
2,185.0,75.0
3,225.0,112.0
4,293.65,150.0
5,350.0,195.0
6,400.0,225.0
7,442.0,263.0
8,458.09,301.0
9,500.0,338.0
10,587.3,376.0
11,643.0,413.0
12,700.0,451.0
13,754.0,489.0
14,822.22,526.0
15,887.0,564.0
16,950.0,609.0
17,1000.0,639.0
18,1102.98,677.0
19,1200.0,722.0
20,1216.0,754.0
21,1300.0,790.0
22,1400.0,827.0
23,1500.0,865.0
24,1521.11,903.0
25,1640.0,940.0
26,1720.0,978.0
27,1770.0,1016.0
28,1800.0,1060.0
29,1850.0,1091.0
30,1900.0,1136.0
31,1950.0,1166.0
32,2000.0,1218.0
33,2011.0,1276.0
34,2055.0,1286.0
35,2124.0,1324.0
36,2200.0,1354.0
37,2231.74,1392.0
38,2300.0,1430.0
39,2360.0,1467.0
40,2400.0,1512.0
41,2500.0,1556.0
42,2520.0,1616.0
43,2574.0,1625.0
44,2695.0,1655.0
45,2750.0,1700.0
46,2800.0,1731.0
47,2895.0,1768.0
48,2950.0,1816.0
49,2973.0,1857.0
50,3000.0,1891.0
51,3014.0000000000005,1933.0
52,3100.0,1956.0
53,3200.0,2001.0
54,3288.88,2032.0
55,3400.0,2069.0
56,3500.0,2126.0
57,3510.0,2202.0
58,3523.8,2208.0
59,3563.0,2227.0
60,3641.26,2265.0
61,3750.0,2295.0
62,3809.0,2333.0
63,3946.66,2370.0
64,4000.0,2415.0
65,4022.0,2447.0
66,4200.0,2483.0
67,4300.0,2521.0
68,4484.0,2559.0
69,4500.0,2603.0
70,4669.0,2634.0
71,4750.0,2678.0
72,4810.0,2709.0
73,5000.0,2756.0
74,5037.0,2796.0
75,5283.0,2829.0
76,5400.0,2860.0
77,5500.0,2904.0
78,5600.0,2935.0
79,5755.54,2973.0
80,5900.0,3010.0
81,6000.0,3055.0
82,6020.0,3087.0
83,6250.0,3123.0
84,6500.0,3169.0
85,6548.92,3202.0
86,6812.68,3243.0
87,7000.0,3281.0
88,7040.0,3311.0
89,7282.52,3349.0
90,7500.0,3394.0
91,7634.9,3424.0
92,8000.0,3462.0
93,8050.0,3502.0
94,8300.0,3537.0
95,8500.0,3582.0
96,8700.0,3612.0
97,9000.0,3650.0
98,9306.36,3688.0
99,9500.0,3725.0
100,9800.0,3763.0
101,10000.0,3807.0
102,10030.0,3838.0
103,10600.0,3876.0
104,11029.76,3920.0
105,11800.0,3951.0
106,12000.0,3997.0
107,12098.38,4029.0
108,12600.0,4064.0
109,13300.0,4109.0
110,14000.0,4139.0
111,14040.0,4188.0
112,14500.0,4214.0
113,15000.0,4259.0
114,15269.8,4290.0
115,16000.0,4334.0
116,16544.63,4365.0
117,17619.0,4403.0
118,18200.0,4440.0
119,19380.9,4478.0
