,price,index
0,45.0,0.0
1,160.0,54.0
2,200.0,90.0
3,250.0,135.0
4,340.63,180.0
5,400.0,225.0
6,450.0,280.0
7,480.0,320.0
8,553.0,361.0
9,614.0,406.0
10,700.0,451.0
11,799.0,496.0
12,850.0,541.0
13,943.0,587.0
14,1000.0,632.0
15,1102.98,677.0
16,1200.0,731.0
17,1250.0,769.0
18,1350.0,812.0
19,1500.0,858.0
20,1536.0,919.0
21,1652.0,957.0
22,1755.0,993.0
23,1800.0,1038.0
24,1843.0,1083.0
25,1900.0,1138.0
26,2000.0,1194.0
27,2006.0,1275.0
28,2055.55,1287.0
29,2114.28,1318.0
30,2200.0,1354.0
31,2250.0,1399.0
32,2349.2,1445.0
33,2400.0,1499.0
34,2500.0,1551.0
35,2550.0,1618.0
36,2600.0,1638.0
37,2725.07,1679.0
38,2757.44,1725.0
39,2826.0,1761.0
40,2950.0,1806.0
41,3000.0,1873.0
42,3033.18,1935.0
43,3071.0,1953.0
44,3200.0,1996.0
45,3288.88,2032.0
46,3400.0,2077.0
47,3500.0,2140.0
48,3538.0,2214.0
49,3584.67,2240.0
50,3686.0,2271.0
51,3758.72,2303.0
52,3876.18,2348.0
53,4000.0,2404.0
54,4050.0,2449.0
55,4200.0,2492.0
56,4346.02,2528.0
57,4500.0,2584.0
58,4580.94,2624.0
59,4741.0,2673.0
60,4810.0,2709.0
61,5000.0,2754.0
62,5050.78,2799.0
63,5300.0,2845.0
64,5500.0,2899.0
65,5600.0,2935.0
66,5790.62,2980.0
67,5900.0,3025.0
68,6000.0,3079.0
69,6225.38,3116.0
70,6500.0,3161.0
71,6617.85,3206.0
72,6895.0,3251.0
73,7000.0,3305.0
74,7200.0,3341.0
75,7500.0,3396.0
76,7784.0,3432.0
77,8000.0,3486.0
78,8260.0,3522.0
79,8500.0,3576.0
80,8700.0,3612.0
81,9100.0,3666.0
82,9396.8,3703.0
83,9651.04,3748.0
84,10000.0,3793.0
85,10050.0,3839.0
86,10895.0,3883.0
87,11158.7,3928.0
88,12000.0,3974.0
89,12098.38,4029.0
90,12900.0,4073.0
91,13300.0,4109.0
92,14000.0,4163.0
93,14160.0,4199.0
94,15000.0,4254.0
95,15269.8,4290.0
96,16000.0,4344.0
97,17000.0,4380.0
98,18000.0,4425.0
99,18895.0,4470.0
