,price,index
0,45.0,0.0
1,175.0,205.0
2,209.0,428.0
3,245.0,605.0
4,281.0,804.0
5,319.0,996.0
6,355.0,1199.0
7,393.0,1371.0
8,430.0,1582.0
9,470.0,1849.0
10,504.0,2131.0
11,545.0,2302.0
12,579.0,2482.0
13,615.0,2745.0
14,651.0,2901.0
15,700.0,3088.0
16,725.0,3247.0
17,761.0,3422.0
18,800.0,3571.0
19,835.0,3714.0
20,872.0,3894.0
21,908.0,4114.0
22,950.0,4281.0
23,983.0,4463.0
24,1020.0,4700.0
25,1057.0,4843.0
26,1093.0,4968.0
27,1130.0,5109.0
28,1195.0,5258.0
29,1209.0,5412.0
30,1245.0,5481.0
31,1300.0,5602.0
32,1327.0,5733.0
33,1364.0,5840.0
34,1400.0,5920.0
35,1436.0,6073.0
36,1500.0,6169.0
37,1510.0,6318.0
38,1548.0,6395.0
39,1595.0,6502.0
40,1625.0,6646.0
41,1664.0,6752.0
42,1710.0,6897.0
43,1740.0,7341.0
44,1800.0,7470.0
45,1820.0,7607.0
46,1860.0,7657.0
47,1900.0,7744.0
48,1938.09,7848.0
49,2000.0,7970.0
50,2019.0,8178.0
51,2060.0,8220.0
52,2100.0,8288.0
53,2137.02,8378.0
54,2190.0,8482.0
55,2211.0,8623.0
56,2250.0,8668.0
57,2285.0,8720.0
58,2330.0,8796.0
59,2390.0,8912.0
60,2450.0,9033.0
61,2500.0,9213.0
62,2600.0,9334.0
63,2666.0,9484.0
64,2740.0,9635.0
65,2810.0,9815.0
66,2910.0,9936.0
67,2995.0,10086.0
68,3033.18,10245.0
69,3200.0,10387.0
70,3270.0,10538.0
71,3400.0,10689.0
72,3500.0,10869.0
73,3595.0,10990.0
74,3750.0,11140.0
75,3860.0,11291.0
76,4000.0,11441.0
77,4147.0,11592.0
78,4310.0,11742.0
79,4540.0,11893.0
80,4750.0,12044.0
81,4950.0,12194.0
82,5200.0,12345.0
83,5450.0,12495.0
84,5610.0,12646.0
85,5920.0,12796.0
86,6250.0,12947.0
87,6550.0,13097.0
88,7000.0,13248.0
89,7450.0,13398.0
90,8000.0,13549.0
91,8410.0,13700.0
92,8995.0,13850.0
93,9600.0,14001.0
94,10260.0,14151.0
95,11746.0,14302.0
96,12750.0,14452.0
97,14060.0,14603.0
98,15750.0,14753.0
99,18000.0,14904.0
