,price,index
0,45.0,0.0
1,225.0,501.0
2,320.0,1003.0
3,415.0,1505.0
4,490.0,2007.0
5,580.0,2509.0
6,680.0,3011.0
7,790.0,3512.0
8,900.0,4014.0
9,990.0,4516.0
10,1100.0,5018.0
11,1260.0,5520.0
12,1410.0,6022.0
13,1600.0,6523.0
14,1710.0,7125.0
15,1800.0,7527.0
16,2000.0,8029.0
17,2200.0,8531.0
18,2450.0,9033.0
19,2690.0,9534.0
20,2960.0,10036.0
21,3270.0,10538.0
22,3610.0,11040.0
23,4050.0,11542.0
24,4750.0,12044.0
25,5500.0,12545.0
26,6500.0,13047.0
27,8000.0,13549.0
28,9895.0,14051.0
29,14000.0,14553.0
